Treating.Clinician,total,Hospital,target,percentage,jitter_total,jitter_percentage
90093189,2,Dandenong,0,0,1.999673421,-0.004560231
90097823,7,Dandenong,0,0,7.00063441,-0.003991422
90098405,1,Dandenong,0,0,1.004196303,8.48181E-05
90099752,6,Dandenong,0,0,5.99695581,0.001955711
90099773,5,Dandenong,0,0,5.003417293,0.003613203
90100582,16,Dandenong,3,18,15.997578,18.00312846
90101219,5,Dandenong,0,0,4.996323976,0.003503203
90102882,3,Dandenong,0,0,3.004757307,0.004370213
90102895,17,Dandenong,0,0,17.00133961,-0.000648154
90104011,10,Dandenong,0,0,9.997999011,-0.001891429
90104880,3,Dandenong,0,0,2.99834412,-0.001088484
90107017,3,Dandenong,0,0,2.995680573,0.00137447
90107765,7,Dandenong,0,0,6.998864847,-0.000154748
90109083,15,Dandenong,0,0,14.99580726,0.003976925
90109179,3,Dandenong,0,0,2.995068824,0.00024382
